ID_HH,ID_HS,car_numb,car_a_numb,car_b_numb,car_c_numb,car_1,car_2,car_3,car_a6_r,car_a7,car_a8,car_a10,car_a11,car_a12_r,car_a13_g,car_a15_r,car_a17,car_a20_r,car_a27,car_a28,car_a29,car_a31_r,car_a32,car_a33,car_a34_r,car_a35,car_a36,car_b6_r,car_b7,car_b8,car_b10,car_b11,car_b12_r,car_b13_g,car_b15_r,car_b17,car_b20_r,car_b27,car_b28,car_b29,car_b31_r,car_b32,car_b33,car_b34_r,car_b35,car_b36
HH14250003,HS2502000001,1,1,0,0,2,-7,0,2,2003,10,2003,1,2,2,5,1,13420,50,30,20,10,4,1,20,1342,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14250004,HS2502000009,1,1,0,0,2,-7,0,1,2013,5,2013,1,1,1,5,1,17426,0,40,60,11,4,2,20,1584,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14260001,HS2602000001,2,2,0,0,2,-7,0,1,2019,12,2014,2,1,2,5,1,11952,50,50,0,10,4,2,20,1139,-7,1,2016,1,2016,1,2,1,5,1,12432,50,0,50,13,1,2,5,980,-7
HH14260002,HS2602000002,1,1,0,0,2,-7,0,1,2013,3,2013,1,1,2,5,1,11952,50,0,50,10,4,2,25,1139,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14260003,HS2602000003,1,1,0,0,2,-7,0,1,2010,10,2010,1,1,2,5,1,11952,0,0,100,10,4,1,20,1139,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14260004,HS2602000015,1,1,0,0,2,-7,0,1,2012,10,2012,1,1,1,5,1,10797,100,0,0,12,4,1,30,906,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14260005,HS2602000016,1,1,0,0,2,-7,0,2,2016,5,2016,1,2,2,5,1,12626,70,0,30,11,4,1,25,1123,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14260007,HS2603000009,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14260008,HS2603010044,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14260009,HS2603000015,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14310005,HS3110100024,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14320002,HS3201000018,1,1,0,0,2,-7,0,1,2002,2,2002,1,1,1,5,1,8000,0,0,100,12,4,1,30,672,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14330001,HS3303000001,1,1,0,0,1,1,0,2,2007,4,2007,1,1,1,5,1,12000,80,0,20,12,3,1,20,1000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14330003,HS3303000005,1,1,0,0,1,1,0,1,2009,2,2009,1,1,1,5,1,10797,50,0,50,12,3,2,20,906,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH14330004,HS3304200006,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
